Time	<S12L^ S12 S12R^>
1415202.88018491	0
1422188.61318645	0
1429174.346188	0
1436160.07918954	0
1443241.79247717	0
1450323.5057648	0
1457405.21905243	0
1464486.93234006	0
1471495.37453723	0
1478503.8167344	0
1485512.25893156	0
1492520.70112873	0
1499407.00912978	0
1506293.31713083	0
1513179.62513188	0
1520065.93313292	0
1526941.97505175	0
1533818.01697058	0
1540694.05888941	0
1547570.10080823	0
1554545.48774756	0
1561520.87468689	0
1568496.26162621	0
1575471.64856554	0
1582514.87437884	0
1589558.10019215	0
1596601.32600546	0
1603644.55181877	0
1610639.86577899	0
1617635.17973921	0
1624630.49369943	0
1631625.80765965	0
1638536.27276035	0
1645446.73786104	0
1652357.20296174	0
1659267.66806243	0
1666168.96162648	0
1673070.25519052	0
1679971.54875456	0
1686872.8423186	0
1693841.87331919	0
1700810.90431977	0
1707779.93532036	0
1714748.96632095	0
1721765.94918186	0
1728782.93204277	0
1735799.91490368	0
1742816.89776459	0
1749802.5768458	0
1756788.255927	0
1763773.93500821	0
1770759.61408941	0
1777686.44324603	0
1784613.27240265	0
1791540.10155926	0
1798466.93071588	0
1805385.98017648	0
1812305.02963709	0
1819224.07909769	0
1826143.1285583	0
1833108.30389081	0
1840073.47922332	0
1847038.65455583	0
1854003.82988834	0
1861002.88759686	0
1868001.94530538	0
1875001.00301391	0
1882000.06072243	0
1888978.70048618	0
1895957.34024994	0
1902935.98001369	0
1909914.61977745	0
1916852.49579225	0
1923790.37180705	0
1930728.24782185	0
1937666.12383665	0
1944597.62938011	0
1951529.13492358	0
1958460.64046704	0
1965392.1460105	0
1972355.02238744	0
1979317.89876437	0
1986280.77514131	0
1993243.65151824	0
1999999.99998	0
2000000	0
